video_id,lang,merged_file,processed_time
TJKaVLjcH9Q,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:08:17
i1c3m__4KP4,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:08:19
UfxEFPFOjrA,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:08:29
h_8T7HpMxag,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:08:32
FMtayy1IAec,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:08:34
sqKPaLaKopc,zh,ds_jietuoyuan_zh_part1.data,2025-07-01T12:09:09
VHLKc6i0ct8,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:11
8d7ztznfbpY,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:13
WnS-GnKIxaA,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:17
nzJj0OFBNFA,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:20
O-0nMqGvsZ8,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:23
7OZrncNvtk0,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:25
uKCcxNr-40c,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:34
sJRmxl-R_wE,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:37
rqUTzv_R-BY,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:41
t4rkgdHBLdc,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:43
mTrEQ8-S66M,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:46
x6YHJbix9UA,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:49
8ZTQVEHw4us,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:54
KRgUhs301KE,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:09:58
ejINRv-IAHo,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:10:03
KDXQm5WbPBc,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:10:05
CLxmDejJJec,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:10:07
zdo-NuwU8uI,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:10:09
6P94gbDlY6w,zh,ds_jietuoyuan_zh_part2.data,2025-07-01T12:10:11
F2e-HoCO62s,en,ds_jietuoyuan_en_part1.data,2025-07-01T12:10:14
2d9JcyeUj1U,en,ds_jietuoyuan_en_part1.data,2025-07-01T12:10:16
rgnvwLm0rU8,en,ds_jietuoyuan_en_part1.data,2025-07-01T12:10:18
ZFH3h7FxqIE,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:20
tH5zHFYPAxc,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:22
6ksRLwbxFnY,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:25
4LK9mhMfN-U,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:27
84OSSCPkwng,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:30
HK4WY3oUCwg,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:37
pfKfaLu16Jo,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:39
0GGv2LfC864,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:42
toeXv-0jRJY,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:44
ik_Ij0dfUdA,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:49
7vTnLXaXkBw,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:52
svXiyTwhzGU,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:54
Pa3Ost9SWYQ,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:56
Qbu7yzeNwXQ,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:10:58
nLtRuptP8Ns,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:01
JAZLbOXSKAU,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:05
DsEDrsovW8A,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:07
UI8aIlsTOyQ,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:10
qjN3CNibU00,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:14
i5QhRoS5r2M,th,ds_jietuoyuan_th_part1.data,2025-07-01T12:11:16
ayYcDjr_a-E,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:18
L6aYBiBRNtQ,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:20
ozqs5kc5SB0,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:23
SaU3XnbxITA,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:25
8PuliXOYgoE,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:28
00wpndXhL4M,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:30
sqKPaLaKopc,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:32
VHLKc6i0ct8,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:35
8d7ztznfbpY,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:37
WnS-GnKIxaA,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:42
P0G80oDikOI,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:44
nzJj0OFBNFA,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:49
FMGEQqKJZME,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:51
O-0nMqGvsZ8,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:53
7OZrncNvtk0,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:56
uKCcxNr-40c,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:11:58
sJRmxl-R_wE,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:12:00
rqUTzv_R-BY,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:12:02
t4rkgdHBLdc,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:12:04
mTrEQ8-S66M,th,ds_jietuoyuan_th_part2.data,2025-07-01T12:12:07
